neighbor,status,in_first,in_last
gulps,new,False,True
gummy,new,False,True
gurs,new,False,True
gutta,new,False,True
guzzling,new,False,True
haberdasher,new,False,True
haircutting,new,False,True
hairpins,new,False,True
halos,new,False,True
halving,new,False,True
handily,new,False,True
handler,new,False,True
hankie,new,False,True
haricots,new,False,True
hashish,new,False,True
hatchery,new,False,True
hatchets,new,False,True
hatful,new,False,True
havana,new,False,True
havebeen,new,False,True
heaping,new,False,True
heaters,new,False,True
heavies,new,False,True
hecome,new,False,True
heiresses,new,False,True
heisting,new,False,True
helots,new,False,True
hemlock,new,False,True
henbane,new,False,True
hilling,new,False,True
hoarder,new,False,True
holsters,new,False,True
homegrown,new,False,True
hookah,new,False,True
hoopla,new,False,True
hoppers,new,False,True
horseflesh,new,False,True
horseracing,new,False,True
horseradish,new,False,True
hotbeds,new,False,True
houseboat,new,False,True
hulks,new,False,True
humping,new,False,True
hunks,new,False,True
hydrates,new,False,True
iaying,new,False,True
iban,new,False,True
icecream,new,False,True
ieast,new,False,True
illicitly,new,False,True
imbibing,new,False,True
imperils,new,False,True
importing,new,False,True
impounded,new,False,True
inand,new,False,True
inari,new,False,True
indiscriminately,new,False,True
inelegant,new,False,True
inhaler,new,False,True
injecting,new,False,True
inkwell,new,False,True
innards,new,False,True
invert,new,False,True
inverting,new,False,True
inverts,new,False,True
invoiced,new,False,True
irwins,new,False,True
iused,new,False,True
iwent,new,False,True
jacobins,new,False,True
javelin,new,False,True
javelins,new,False,True
jellied,new,False,True
jowls,new,False,True
juke,new,False,True
karol,new,False,True
kitting,new,False,True
kneads,new,False,True
knifes,new,False,True
knockers,new,False,True
korean,new,False,True
kroner,new,False,True
laager,new,False,True
lacrosse,new,False,True
lactic,new,False,True
larders,new,False,True
layered,new,False,True
leavings,new,False,True
leftover,new,False,True
leftovers,new,False,True
lemonades,new,False,True
licorice,new,False,True
lighters,new,False,True
liquors,new,False,True
lisen,new,False,True
loathes,new,False,True
logger,new,False,True
loggers,new,False,True
lollipop,new,False,True
lollypop,new,False,True
lugged,new,False,True
lumped,new,False,True
lunches,new,False,True
luxuries,new,False,True
macaroon,new,False,True
macaroons,new,False,True
malaya,new,False,True
mallets,new,False,True
maltreat,new,False,True
mandated,new,False,True
marketed,new,False,True
marmite,new,False,True
matchbox,new,False,True
matchboxes,new,False,True
mealie,new,False,True
meam,new,False,True
meddled,new,False,True
meekest,new,False,True
meerschaum,new,False,True
millon,new,False,True
milwaukee,new,False,True
minesweepers,new,False,True
missives,new,False,True
moguls,new,False,True
moldy,new,False,True
mollusc,new,False,True
molybdenum,new,False,True
moneybags,new,False,True
monkeying,new,False,True
morsels,new,False,True
moustaches,new,False,True
mouthfuls,new,False,True
mucilage,new,False,True
mucks,new,False,True
muffles,new,False,True
mulberries,new,False,True
munched,new,False,True
munching,new,False,True
musky,new,False,True
mussel,new,False,True
mussels,new,False,True
mustards,new,False,True
nagar,new,False,True
nannies,new,False,True
nastier,new,False,True
navels,new,False,True
nectar,new,False,True
nectarine,new,False,True
nibbled,new,False,True
nicotine,new,False,True
nitrates,new,False,True
noodles,new,False,True
norwegians,new,False,True
notebooks,new,False,True
nougat,new,False,True
nstead,new,False,True
nuggets,new,False,True
nuremberg,new,False,True
odoriferous,new,False,True
offensively,new,False,True
offsets,new,False,True
ogres,new,False,True
oilcan,new,False,True
oklahoma,new,False,True
omelettes,new,False,True
opposer,new,False,True
orangeade,new,False,True
orhe,new,False,True
osseous,new,False,True
outflow,new,False,True
outlets,new,False,True
outsides,new,False,True
overcharge,new,False,True
overcharging,new,False,True
overfeed,new,False,True
overproduction,new,False,True
oxes,new,False,True
pacers,new,False,True
padding,new,False,True
pagodas,new,False,True
paiute,new,False,True
parcelled,new,False,True
parking,new,False,True
pasteboard,new,False,True
patronises,new,False,True
paunch,new,False,True
pawnshops,new,False,True
peanuts,new,False,True
pecking,new,False,True
pedalo,new,False,True
pedlars,new,False,True
peeks,new,False,True
peelings,new,False,True
pencils,new,False,True
peoe,new,False,True
pepa,new,False,True
peppermint,new,False,True
peppermints,new,False,True
perambulating,new,False,True
percolator,new,False,True
perfumes,new,False,True
periodicals,new,False,True
periscopes,new,False,True
perishable,new,False,True
periwinkles,new,False,True
persisting,new,False,True
phials,new,False,True
phoning,new,False,True
phosphorous,new,False,True
phosphorus,new,False,True
pice,new,False,True
pickings,new,False,True
pickling,new,False,True
piggish,new,False,True
pilfered,new,False,True
pineapples,new,False,True
pipeful,new,False,True
pipo,new,False,True
pippins,new,False,True
pistols,new,False,True
pitchers,new,False,True
plantations,new,False,True
plateful,new,False,True
plenteous,new,False,True
poach,new,False,True
pocketbook,new,False,True
pocketful,new,False,True
pocketing,new,False,True
pooch,new,False,True
popgun,new,False,True
porcine,new,False,True
porkers,new,False,True
porpoise,new,False,True
porridge,new,False,True
potatoe,new,False,True
pouches,new,False,True
pple,new,False,True
prizing,new,False,True
probaby,new,False,True
prods,new,False,True
profiteer,new,False,True
propensity,new,False,True
protegees,new,False,True
puffs,new,False,True
pulverise,new,False,True
pumpkin,new,False,True
purchasable,new,False,True
pussyfoot,new,False,True
putrid,new,False,True
quaff,new,False,True
